,id_left,name_left,is_tbd,geometry,index_right,id_right,name_right,color,feature_id,coordinates,geometry_type
136,ketapang-indonesia,"Ketapang, Indonesia",False,POINT (109.97187133023849 -1.859123326919139),,,,,,,
137,banjarmasin-indonesia,"Banjarmasin, Indonesia",False,POINT (114.60399695504718 -3.327961488455888),,,,,,,
138,pontianak-indonesia,"Pontianak, Indonesia",False,POINT (109.33564131219983 -0.02740748572126),,,,,,,
139,klagshamn-sweden,"Klagshamn, Sweden",False,POINT (12.916666647556017 55.53329310071712),,,,,,,
140,brondby-denmark,"Brondby, Denmark",False,POINT (12.41490919050584 55.64724561414846),,,,,,,
141,nybor-denmark,"Nybor, Denmark",False,POINT (10.799480647390464 55.324102015186114),,,,,,,
142,korsor-denmark,"Korsor, Denmark",False,POINT (11.149382743266532 55.32575488731598),,,,,,,
143,rostock-germany,"Rostock, Germany",False,POINT (12.13238985939624 54.078893478280825),,,,,,,
144,markgrafenheide-germany,"Markgrafenheide, Germany",False,POINT (12.149479691038506 54.19140540038316),,,,,,,
145,osterby-denmark,"Osterby, Denmark",False,POINT (11.199285051665399 57.31345558303452),,,,,,,
146,pacific-city-or-united-states,"Pacific City, OR, United States",False,POINT (-123.9626309171155 45.201924825052444),,,,,,,
147,blackpool-sands-united-kingdom,"Blackpool Sands, United Kingdom",False,POINT (-3.610909534778925 50.31882973101125),,,,,,,
148,labuan-bajo-indonesia,"Labuan Bajo, Indonesia",False,POINT (119.90756399999964 -8.475551000000419),,,,,,,
149,sape-indonesia,"Sape, Indonesia",False,POINT (118.97619999999958 -8.505600000000262),,,,,,,
150,ende-indonesia,"Ende, Indonesia",False,POINT (121.64273999999965 -8.845699000000248),,,,,,,
151,sumbawa-besar-indonesia,"Sumbawa Besar, Indonesia",False,POINT (118.08221700000053 -8.84115000000092),,,,,,,
152,bima-indonesia,"Bima, Indonesia",False,POINT (118.74490299999954 -8.464266),,,,,,,
153,saraemee-indonesia,"Saraemee, Indonesia",False,POINT (118.71180654503641 -8.796931179918277),,,,,,,
154,waingapu-indonesia,"Waingapu, Indonesia",False,POINT (120.25301639072892 -9.64615484323023),,,,,,,
155,kupang-indonesia,"Kupang, Indonesia",False,POINT (123.5833851252144 -10.183308656195656),,,,,,,
156,taytay-philippines,"Taytay, Philippines",False,POINT (119.50038020515338 10.819603438863586),,,,,,,
157,san-jose-philippines,"San Jose, Philippines",False,POINT (121.05008613857723 12.362623239786029),,,,,,,
158,coron-philippines,"Coron, Philippines",False,POINT (120.20067267780973 12.004960160699559),,,,,,,
159,el-quawef-libya,"El-Quawef, Libya",False,POINT (25.08736115072189 31.760813307797136),,,,,,,
160,faial-portugal,"Faial, Portugal",False,POINT (-28.647561720454593 38.525099690783364),,,,,,,
161,graciosa-portugal,"Graciosa, Portugal",False,POINT (-27.963480173814336 39.01102990331266),,,,,,,
162,corvo-portugal,"Corvo, Portugal",False,POINT (-31.110548256901776 39.67193532519225),,,,,,,
163,flores-portugal,"Flores, Portugal",False,POINT (-31.128516994172585 39.462211754202585),,,,,,,
164,piedra-santa-spain,"Piedra Santa, Spain",False,POINT (-15.408801567666467 28.04062233001219),,,,,,,
165,penang-malaysia,"Penang, Malaysia",False,POINT (100.40982400223058 5.368393581488473),,,,,,,
166,songkhla-thailand,"Songkhla, Thailand",False,POINT (100.5951000000003 7.198819999999446),,,,,,,
167,lantau-island-china,"Lantau Island, China",False,POINT (113.94833335702553 22.271491582355683),,,,,,,
168,miura-japan,"Miura, Japan",False,POINT (139.6206784517453 35.14403408076397),,,,,,,
169,island-park-ny-united-states,"Island Park, NY, United States",False,POINT (-73.6559282736054 40.60030327678829),,,,,,,
170,danang-vietnam,"Danang, Vietnam",False,POINT (108.21474366875417 16.051559827539638),,,,,,,
171,mersing-malaysia,"Mersing, Malaysia",False,POINT (103.84990301084824 2.295511672819276),,,,,,,
172,tuas-singapore,"Tuas, Singapore",False,POINT (103.64707112328632 1.338192522185158),,,,,,,
173,tuckerton-nj-united-states,"Tuckerton, NJ, United States",False,POINT (-74.33791021235805 39.60388495499803),,,,,,,
174,st-davids-bermuda,"St. David’s, Bermuda",False,POINT (-64.76950878757832 32.31223462116531),,,,,,,
175,fortaleza-brazil,"Fortaleza, Brazil",False,POINT (-38.542964866708125 -3.718833983135859),,,,,,,
176,boca-raton-fl-united-states,"Boca Raton, FL, United States",False,POINT (-80.08894373592818 26.350323169523403),,,,,,,
177,naha-japan,"Naha, Japan",False,POINT (127.68055019149426 26.21241384638718),,,,,,,
178,toucheng-taiwan,"Toucheng, Taiwan",False,POINT (121.80145279380189 24.863592858849902),,,,,,,
179,surville-france,"Surville, France",False,POINT (-1.650022252014811 49.28329065675959),,,,,,,
180,fort-amador-panama,"Fort Amador, Panama",False,POINT (-79.54673220597367 8.934109660849998),,,,,,,
181,maruyama-japan,"Maruyama, Japan",False,POINT (139.97546699999984 35.005432999999265),,,,,,,
182,makaha-hi-united-states,"Makaha, HI, United States",False,POINT (-158.2206478576183 21.463431186887963),,,,,,,
183,morro-bay-ca-united-states,"Morro Bay, CA, United States",False,POINT (-120.84720343661348 35.3666813511006),,,,,,,
184,porthcurno-united-kingdom,"Porthcurno, United Kingdom",False,POINT (-5.654511602696961 50.043048657721435),,,,,,,
185,mumbai-india,"Mumbai, India",False,POINT (72.87590151562159 19.07579693373203),,,,,,,
186,estepona-spain,"Estepona, Spain",False,POINT (-5.145869384899948 36.42710220192439),,,,,,,
187,palermo-italy,"Palermo, Italy",False,POINT (13.358365553402518 38.12150089552133),,,,,,,
188,alexandria-egypt,"Alexandria, Egypt",False,POINT (29.889799154879793 31.191886381300385),,,,,,,
189,suez-egypt,"Suez, Egypt",False,POINT (32.53012931569517 29.9722883988634),,,,,,,
190,fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",False,POINT (56.33372573425405 25.12169311729696),,,,,,,
191,bluefields-nicaragua,"Bluefields, Nicaragua",False,POINT (-83.77146065844866 11.991778023043153),,,,,,,
192,puerto-lempira-honduras,"Puerto Lempira, Honduras",False,POINT (-83.77675850625805 15.261220674450207),,,,,,,
193,trujillo-honduras,"Trujillo, Honduras",False,POINT (-85.95475989302918 15.915150827636316),,,,,,,
194,puerto-cortes-honduras,"Puerto Cortes, Honduras",False,POINT (-87.94606707611828 15.844797765849421),,,,,,,
195,puerto-barrios-guatemala,"Puerto Barrios, Guatemala",False,POINT (-88.59723848982233 15.727143540875408),,,,,,,
196,hillsboro-or-united-states,"Hillsboro, OR, United States",False,POINT (-122.98980067645105 45.522898824562965),,,,,,,
197,kahe-point-hi-united-states,"Kahe Point, HI, United States",False,POINT (-158.1305815657343 21.35398165191293),,,,,,,
198,suva-fiji,"Suva, Fiji",False,POINT (178.43744782858172 -18.123812280017187),,,,,,,
199,savona-italy,"Savona, Italy",False,POINT (8.483759631619103 44.305540140669045),,,,,,,
200,baby-beach-aruba,"Baby Beach, Aruba",False,POINT (-69.87868485568913 12.414141621401608),,,,,,,
201,halifax-ns-canada,"Halifax, NS, Canada",False,POINT (-63.573952993896306 44.64579771640326),,,,,,,
202,lynn-ma-united-states,"Lynn, MA, United States",False,POINT (-70.95026612782192 42.46366906639672),,,,,,,
203,dublin-ireland,"Dublin, Ireland",False,POINT (-6.248261182079236 53.348045408252375),,,,,,,
204,southport-united-kingdom,"Southport, United Kingdom",False,POINT (-3.006368947416131 53.64793071295795),,,,,,,
205,bude-united-kingdom,"Bude, United Kingdom",False,POINT (-4.544404967232005 50.82811048000128),,,,,,,
206,san-juan-pr-united-states,"San Juan, PR, United States",False,POINT (-66.10666604344867 18.465839112933374),,,,,,,
207,al-faw-iraq,"Al Faw, Iraq",False,POINT (48.531778136227075 29.923295047889447),,,,,,,
208,karachi-pakistan,"Karachi, Pakistan",False,POINT (67.02854237669561 24.88937409747322),,,,,,,
209,haramous-djibouti,"Haramous, Djibouti",False,POINT (43.16166943911836 11.57367892559012),,,,,,,
210,yeroskipos-cyprus,"Yeroskipos, Cyprus",False,POINT (32.46655514198169 34.76641137968897),,,,,,,
211,marmaris-turkey,"Marmaris, Turkey",False,POINT (28.25366750143074 36.85524944302755),,,,,,,
212,mazara-del-vallo-italy,"Mazara del Vallo, Italy",False,POINT (12.591276253065702 37.650130188288585),,,,,,,
213,sesimbra-portugal,"Sesimbra, Portugal",False,POINT (-9.1027513474316 38.44269349871853),,,,,,,
214,goonhilly-downs-united-kingdom,"Goonhilly Downs, United Kingdom",False,POINT (-5.174531473969396 50.0248026869269),,,,,,,
215,sylt-germany,"Sylt, Germany",False,POINT (8.383369077736644 54.89850565849031),,,,,,,
216,dakar-senegal,"Dakar, Senegal",False,POINT (-17.451915354680473 14.686597713745336),,,,,,,
217,conil-de-la-frontera-spain,"Conil de la Frontera, Spain",False,POINT (-6.087226139907921 36.2765632358394),,,,,,,
218,nassau-bahamas,"Nassau, Bahamas",False,POINT (-77.34025183547105 25.067038149721757),,,,,,,
219,crooked-island-bahamas,"Crooked Island, Bahamas",False,POINT (-74.19499039172877 22.629711836470232),,,,,,,
220,providenciales-turks-and-caicos-islands,"Providenciales, Turks and Caicos Islands",False,POINT (-72.12023600213026 21.851092241181057),,,,,,,
221,punta-cana-dominican-republic,"Punta Cana, Dominican Republic",False,POINT (-68.43825618860332 18.621279512611874),,,,,,,
222,puerto-plata-dominican-republic,"Puerto Plata, Dominican Republic",False,POINT (-70.6912331081983 19.79934388457018),,,,,,,
223,riohacha-colombia,"Riohacha, Colombia",False,POINT (-72.95270611552462 11.482908943707109),,,,,,,
224,greve-de-lecq-jersey,"Greve de Lecq, Jersey",False,POINT (-2.201437877011841 49.24794670647614),,,,,,,
225,havelet-bay-guernsey,"Havelet Bay, Guernsey",False,POINT (-2.529513816474767 49.4509894968767),,,,,,,
