,Unnamed: 0,Vessel_Name,URL,Location,Time,Latitude,Longtitude,Time
106,106,ODD,https://www.myshiptracking.com/vessels/vessels/odd-mmsi-257359600-imo-,,,,,
107,107,KALVOY,https://www.myshiptracking.com/vessels/vessels/kalvoy-mmsi-257003970-imo-9802607,,,,,
108,108,ZILVERSTAD,https://www.myshiptracking.com/vessels/vessels/zilverstad-mmsi-244130927-imo-0,,,,,
109,109,ZEPHYR,https://www.myshiptracking.com/vessels/vessels/zephyr-mmsi-245115000-imo-0,,,,,
110,110,HARMONIE,https://www.myshiptracking.com/vessels/vessels/harmonie-mmsi-244150247-imo-0,,,,,
111,111,GULF ANGEL,https://www.myshiptracking.com/vessels/vessels/gulf-angel-mmsi-304578000-imo-9125059,,,,,
112,112,DEN BULT,https://www.myshiptracking.com/vessels/vessels/den-bult-mmsi-205517490-imo-0,,,,,
113,113,AL HAMRA,https://www.myshiptracking.com/vessels/vessels/al-hamra-mmsi-470288000-imo-0,,,,,
114,114,M-17,https://www.myshiptracking.com/vessels/vessels/m-17-mmsi-470496000-imo-6666,,,,,
115,115,WELLAND,https://www.myshiptracking.com/vessels/vessels/welland-mmsi-316002213-imo-0,,,,,
116,116,IFIRST,https://www.myshiptracking.com/vessels/vessels/ifirst-mmsi-244124111-imo-,,,,,
117,117,SOMEWHERE IN TIME,https://www.myshiptracking.com/vessels/vessels/somewhere-in-time-mmsi-367732640-imo-0,,,,,
118,118,2275205,https://www.myshiptracking.com/vessels/vessels/2275205-mmsi-2275205-imo-,,,,,
119,119,VISION OF THE FJORDS,https://www.myshiptracking.com/vessels/vessels/vision-of-the-fjords-mmsi-257852500-imo-9784192,,,,,
120,120,ALLEGRA,https://www.myshiptracking.com/vessels/vessels/allegra-mmsi-218028600-imo-0,,,,,
121,121,ADALAR DENIZI,https://www.myshiptracking.com/vessels/vessels/adalar-denizi-mmsi-271052258-imo-9981855,,,,,
122,122,LUESSEN 14,https://www.myshiptracking.com/vessels/vessels/luessen-14-mmsi-211467560-imo-0,,,,,
123,123,KT ANOMAN  1,https://www.myshiptracking.com/vessels/vessels/kt-anoman-1-mmsi-525750550-imo-7505504,,,,,
124,124,P85,https://www.myshiptracking.com/vessels/vessels/p85-mmsi-244030069-imo-0,,,,,
125,125,SHE GANG 12 HAO,https://www.myshiptracking.com/vessels/vessels/she-gang-12-hao-mmsi-413212480-imo-0,,,,,
126,126,TELEOST,https://www.myshiptracking.com/vessels/vessels/teleost-mmsi-319451000-imo-1006219,,,,,
127,127,MY WORLD,https://www.myshiptracking.com/vessels/vessels/my-world-mmsi-232060493-imo-0,,,,,
128,128,ELLI GLITSCHER,https://www.myshiptracking.com/vessels/vessels/elli-glitscher-mmsi-211413680-imo-0,,,,,
129,129,2275045,https://www.myshiptracking.com/vessels/vessels/2275045-mmsi-2275045-imo-,,,,,
130,130,DEXTER PORCHE,https://www.myshiptracking.com/vessels/vessels/dexter-porche-mmsi-367522540-imo-5542490,,,,,
131,131,PILOT B 2,https://www.myshiptracking.com/vessels/vessels/pilot-b-2-mmsi-428009070-imo-0,,,,,
132,132,NORAN,https://www.myshiptracking.com/vessels/vessels/noran-mmsi-341034002-imo-9175822,,,,,
133,133,ANTONIE,https://www.myshiptracking.com/vessels/vessels/antonie-mmsi-244660713-imo-0,,,,,
